hotel,fecha,nivel,cantidad
demo-costa,2025-07-24,Silver Elite (SLR),1
demo-costa,2025-07-24,Gold Elite (GLD),3
demo-costa,2025-07-24,Platinum Elite (PLT),1
demo-centro,2025-07-25,Member (MRD),3
demo-centro,2025-07-25,Gold Elite (GLD),4
demo-centro,2025-07-25,Platinum Elite (PLT),3
demo-centro,2025-07-25,Titanium Elite (TTM),4
demo-costa,2025-07-25,Member (MRD),3
demo-costa,2025-07-25,Silver Elite (SLR),4
demo-costa,2025-07-25,Gold Elite (GLD),1
demo-costa,2025-07-25,Titanium Elite (TTM),4
demo-centro,2025-07-26,Member (MRD),1
demo-centro,2025-07-26,Silver Elite (SLR),2
demo-centro,2025-07-26,Gold Elite (GLD),1
demo-centro,2025-07-26,Platinum Elite (PLT),2
demo-costa,2025-07-26,Member (MRD),4
demo-costa,2025-07-26,Silver Elite (SLR),1
demo-costa,2025-07-26,Gold Elite (GLD),3
demo-costa,2025-07-26,Platinum Elite (PLT),2
demo-centro,2025-07-27,Silver Elite (SLR),3
demo-centro,2025-07-27,Gold Elite (GLD),4
demo-centro,2025-07-27,Platinum Elite (PLT),3
demo-costa,2025-07-27,Silver Elite (SLR),2
demo-costa,2025-07-27,Gold Elite (GLD),1
demo-costa,2025-07-27,Titanium Elite (TTM),1
demo-centro,2025-07-28,Silver Elite (SLR),3
demo-centro,2025-07-28,Gold Elite (GLD),4
demo-centro,2025-07-28,Platinum Elite (PLT),2
demo-centro,2025-07-28,Titanium Elite (TTM),4
demo-costa,2025-07-28,Member (MRD),2
demo-costa,2025-07-28,Silver Elite (SLR),3
demo-costa,2025-07-28,Gold Elite (GLD),4
demo-costa,2025-07-28,Platinum Elite (PLT),4
demo-costa,2025-07-28,Titanium Elite (TTM),2
demo-centro,2025-07-29,Member (MRD),1
demo-centro,2025-07-29,Silver Elite (SLR),3
demo-centro,2025-07-29,Gold Elite (GLD),1
demo-centro,2025-07-29,Platinum Elite (PLT),2
demo-costa,2025-07-29,Member (MRD),3
demo-costa,2025-07-29,Silver Elite (SLR),1
demo-costa,2025-07-29,Gold Elite (GLD),1
demo-costa,2025-07-29,Platinum Elite (PLT),1
demo-costa,2025-07-29,Titanium Elite (TTM),3
demo-centro,2025-07-30,Member (MRD),2
demo-centro,2025-07-30,Silver Elite (SLR),3
demo-centro,2025-07-30,Gold Elite (GLD),3
demo-centro,2025-07-30,Platinum Elite (PLT),1
demo-centro,2025-07-30,Titanium Elite (TTM),3
demo-costa,2025-07-30,Member (MRD),4
demo-costa,2025-07-30,Silver Elite (SLR),1
demo-costa,2025-07-30,Gold Elite (GLD),2
demo-costa,2025-07-30,Platinum Elite (PLT),4
demo-costa,2025-07-30,Titanium Elite (TTM),3
demo-centro,2025-07-31,Member (MRD),3
demo-centro,2025-07-31,Silver Elite (SLR),2
demo-centro,2025-07-31,Gold Elite (GLD),3
demo-centro,2025-07-31,Platinum Elite (PLT),2
demo-centro,2025-07-31,Titanium Elite (TTM),2
demo-costa,2025-07-31,Member (MRD),1
demo-costa,2025-07-31,Silver Elite (SLR),3
demo-costa,2025-07-31,Gold Elite (GLD),2
demo-costa,2025-07-31,Titanium Elite (TTM),4
demo-centro,2025-08-01,Member (MRD),3
demo-centro,2025-08-01,Silver Elite (SLR),3
demo-centro,2025-08-01,Platinum Elite (PLT),4
demo-centro,2025-08-01,Titanium Elite (TTM),2
demo-costa,2025-08-01,Silver Elite (SLR),2
demo-costa,2025-08-01,Gold Elite (GLD),3
demo-costa,2025-08-01,Platinum Elite (PLT),4
demo-centro,2025-08-02,Member (MRD),1
demo-centro,2025-08-02,Platinum Elite (PLT),4
demo-centro,2025-08-02,Titanium Elite (TTM),4
demo-costa,2025-08-02,Member (MRD),4
demo-costa,2025-08-02,Platinum Elite (PLT),2
demo-costa,2025-08-02,Titanium Elite (TTM),1
demo-centro,2025-08-03,Member (MRD),4
demo-centro,2025-08-03,Silver Elite (SLR),2
demo-centro,2025-08-03,Gold Elite (GLD),3
demo-centro,2025-08-03,Platinum Elite (PLT),2
demo-centro,2025-08-03,Titanium Elite (TTM),3
demo-costa,2025-08-03,Member (MRD),2
demo-costa,2025-08-03,Titanium Elite (TTM),1
demo-centro,2025-08-04,Member (MRD),4
demo-centro,2025-08-04,Silver Elite (SLR),2
demo-centro,2025-08-04,Gold Elite (GLD),4
demo-costa,2025-08-04,Member (MRD),1
demo-costa,2025-08-04,Silver Elite (SLR),4
demo-costa,2025-08-04,Gold Elite (GLD),4
demo-costa,2025-08-04,Titanium Elite (TTM),2
demo-centro,2025-08-05,Member (MRD),2
demo-centro,2025-08-05,Platinum Elite (PLT),2
demo-centro,2025-08-05,Titanium Elite (TTM),1
demo-costa,2025-08-05,Member (MRD),1
demo-costa,2025-08-05,Silver Elite (SLR),2
demo-costa,2025-08-05,Gold Elite (GLD),1
demo-costa,2025-08-05,Titanium Elite (TTM),3
demo-centro,2025-08-06,Member (MRD),4
demo-centro,2025-08-06,Silver Elite (SLR),2
demo-centro,2025-08-06,Gold Elite (GLD),4
demo-centro,2025-08-06,Titanium Elite (TTM),2
demo-costa,2025-08-06,Member (MRD),2
demo-costa,2025-08-06,Silver Elite (SLR),2
demo-costa,2025-08-06,Gold Elite (GLD),3
demo-costa,2025-08-06,Titanium Elite (TTM),2
demo-centro,2025-08-07,Member (MRD),3
demo-centro,2025-08-07,Gold Elite (GLD),3
demo-centro,2025-08-07,Platinum Elite (PLT),1
demo-centro,2025-08-07,Titanium Elite (TTM),1
demo-costa,2025-08-07,Silver Elite (SLR),2
demo-costa,2025-08-07,Gold Elite (GLD),3
demo-costa,2025-08-07,Platinum Elite (PLT),3
demo-costa,2025-08-07,Titanium Elite (TTM),1
demo-centro,2025-08-08,Member (MRD),4
demo-centro,2025-08-08,Silver Elite (SLR),4
demo-centro,2025-08-08,Gold Elite (GLD),2
demo-centro,2025-08-08,Platinum Elite (PLT),4
demo-centro,2025-08-08,Titanium Elite (TTM),2
demo-costa,2025-08-08,Silver Elite (SLR),1
demo-costa,2025-08-08,Gold Elite (GLD),2
demo-costa,2025-08-08,Platinum Elite (PLT),1
demo-costa,2025-08-08,Titanium Elite (TTM),4
demo-centro,2025-08-09,Member (MRD),2
demo-centro,2025-08-09,Silver Elite (SLR),4
demo-centro,2025-08-09,Gold Elite (GLD),2
demo-centro,2025-08-09,Platinum Elite (PLT),3
demo-centro,2025-08-09,Titanium Elite (TTM),3
demo-costa,2025-08-09,Member (MRD),3
demo-costa,2025-08-09,Silver Elite (SLR),4
demo-costa,2025-08-09,Gold Elite (GLD),2
demo-costa,2025-08-09,Platinum Elite (PLT),1
demo-costa,2025-08-09,Titanium Elite (TTM),4
demo-centro,2025-08-10,Member (MRD),2
demo-centro,2025-08-10,Silver Elite (SLR),1
demo-centro,2025-08-10,Gold Elite (GLD),3
demo-centro,2025-08-10,Titanium Elite (TTM),3
demo-costa,2025-08-10,Member (MRD),4
demo-costa,2025-08-10,Gold Elite (GLD),4
demo-costa,2025-08-10,Titanium Elite (TTM),4
demo-centro,2025-08-11,Member (MRD),3
demo-centro,2025-08-11,Gold Elite (GLD),1
demo-centro,2025-08-11,Platinum Elite (PLT),1
demo-centro,2025-08-11,Titanium Elite (TTM),2
demo-costa,2025-08-11,Silver Elite (SLR),4
demo-costa,2025-08-11,Gold Elite (GLD),2
demo-costa,2025-08-11,Platinum Elite (PLT),3
demo-costa,2025-08-11,Titanium Elite (TTM),1
demo-centro,2025-08-12,Silver Elite (SLR),2
demo-centro,2025-08-12,Platinum Elite (PLT),1
demo-centro,2025-08-12,Titanium Elite (TTM),3
demo-costa,2025-08-12,Member (MRD),1
demo-costa,2025-08-12,Silver Elite (SLR),1
demo-costa,2025-08-12,Gold Elite (GLD),4
demo-costa,2025-08-12,Platinum Elite (PLT),4
demo-costa,2025-08-12,Titanium Elite (TTM),3
demo-centro,2025-08-13,Member (MRD),1
demo-centro,2025-08-13,Silver Elite (SLR),2
demo-centro,2025-08-13,Gold Elite (GLD),3
demo-centro,2025-08-13,Titanium Elite (TTM),4
demo-costa,2025-08-13,Gold Elite (GLD),4
demo-costa,2025-08-13,Platinum Elite (PLT),3
demo-costa,2025-08-13,Titanium Elite (TTM),2
demo-centro,2025-08-14,Member (MRD),2
demo-centro,2025-08-14,Silver Elite (SLR),1
demo-centro,2025-08-14,Gold Elite (GLD),2
demo-centro,2025-08-14,Platinum Elite (PLT),1
demo-costa,2025-08-14,Member (MRD),4
demo-costa,2025-08-14,Silver Elite (SLR),4
demo-costa,2025-08-14,Gold Elite (GLD),1
demo-costa,2025-08-14,Platinum Elite (PLT),2
demo-costa,2025-08-14,Titanium Elite (TTM),4
demo-centro,2025-08-15,Silver Elite (SLR),4
demo-centro,2025-08-15,Platinum Elite (PLT),2
demo-centro,2025-08-15,Titanium Elite (TTM),3
demo-costa,2025-08-15,Silver Elite (SLR),2
demo-costa,2025-08-15,Platinum Elite (PLT),2
demo-costa,2025-08-15,Titanium Elite (TTM),3
demo-centro,2025-08-16,Member (MRD),2
demo-centro,2025-08-16,Silver Elite (SLR),1
demo-centro,2025-08-16,Gold Elite (GLD),1
demo-centro,2025-08-16,Platinum Elite (PLT),2
demo-centro,2025-08-16,Titanium Elite (TTM),4
demo-costa,2025-08-16,Member (MRD),4
demo-costa,2025-08-16,Silver Elite (SLR),3
demo-costa,2025-08-16,Platinum Elite (PLT),4
demo-centro,2025-08-17,Member (MRD),1
demo-centro,2025-08-17,Silver Elite (SLR),4
demo-centro,2025-08-17,Gold Elite (GLD),1
demo-centro,2025-08-17,Platinum Elite (PLT),4
demo-costa,2025-08-17,Member (MRD),2
demo-costa,2025-08-17,Silver Elite (SLR),2
demo-costa,2025-08-17,Gold Elite (GLD),4
demo-costa,2025-08-17,Titanium Elite (TTM),2
demo-centro,2025-08-18,Member (MRD),1
demo-centro,2025-08-18,Silver Elite (SLR),1
demo-centro,2025-08-18,Gold Elite (GLD),3
demo-centro,2025-08-18,Platinum Elite (PLT),4
demo-centro,2025-08-18,Titanium Elite (TTM),1
demo-costa,2025-08-18,Member (MRD),4
demo-costa,2025-08-18,Silver Elite (SLR),4
demo-costa,2025-08-18,Gold Elite (GLD),3
demo-costa,2025-08-18,Platinum Elite (PLT),3
demo-costa,2025-08-18,Titanium Elite (TTM),4
demo-centro,2025-08-19,Member (MRD),4
demo-centro,2025-08-19,Silver Elite (SLR),2
demo-centro,2025-08-19,Gold Elite (GLD),1
demo-centro,2025-08-19,Titanium Elite (TTM),4
demo-costa,2025-08-19,Silver Elite (SLR),4
demo-costa,2025-08-19,Gold Elite (GLD),1
demo-costa,2025-08-19,Platinum Elite (PLT),3
demo-costa,2025-08-19,Titanium Elite (TTM),2
demo-centro,2025-08-20,Member (MRD),2
demo-centro,2025-08-20,Gold Elite (GLD),2
demo-centro,2025-08-20,Platinum Elite (PLT),4
demo-costa,2025-08-20,Member (MRD),3
demo-costa,2025-08-20,Silver Elite (SLR),3
demo-costa,2025-08-20,Gold Elite (GLD),3
demo-costa,2025-08-20,Titanium Elite (TTM),4
demo-centro,2025-08-21,Member (MRD),3
demo-centro,2025-08-21,Gold Elite (GLD),1
demo-centro,2025-08-21,Titanium Elite (TTM),1
demo-costa,2025-08-21,Silver Elite (SLR),4
demo-costa,2025-08-21,Gold Elite (GLD),2
demo-costa,2025-08-21,Platinum Elite (PLT),1
demo-costa,2025-08-21,Titanium Elite (TTM),2
demo-centro,2025-08-22,Member (MRD),3
demo-centro,2025-08-22,Silver Elite (SLR),4
demo-centro,2025-08-22,Gold Elite (GLD),1
demo-centro,2025-08-22,Platinum Elite (PLT),3
demo-centro,2025-08-22,Titanium Elite (TTM),2
demo-costa,2025-08-22,Member (MRD),2
demo-costa,2025-08-22,Silver Elite (SLR),4
demo-costa,2025-08-22,Platinum Elite (PLT),1
demo-costa,2025-08-22,Titanium Elite (TTM),3
demo-centro,2025-08-23,Member (MRD),2
demo-centro,2025-08-23,Silver Elite (SLR),1
demo-centro,2025-08-23,Platinum Elite (PLT),4
demo-centro,2025-08-23,Titanium Elite (TTM),4
demo-costa,2025-08-23,Member (MRD),2
demo-costa,2025-08-23,Gold Elite (GLD),2
demo-costa,2025-08-23,Platinum Elite (PLT),1
demo-centro,2025-08-24,Member (MRD),4
demo-centro,2025-08-24,Silver Elite (SLR),1
demo-centro,2025-08-24,Gold Elite (GLD),2
demo-centro,2025-08-24,Platinum Elite (PLT),1
demo-centro,2025-08-24,Titanium Elite (TTM),3
demo-costa,2025-08-24,Member (MRD),3
demo-costa,2025-08-24,Silver Elite (SLR),4
demo-costa,2025-08-24,Gold Elite (GLD),3
demo-costa,2025-08-24,Titanium Elite (TTM),2
demo-centro,2025-08-25,Member (MRD),3
demo-centro,2025-08-25,Silver Elite (SLR),3
demo-centro,2025-08-25,Gold Elite (GLD),3
demo-centro,2025-08-25,Platinum Elite (PLT),3
demo-costa,2025-08-25,Member (MRD),3
demo-costa,2025-08-25,Silver Elite (SLR),3
demo-costa,2025-08-25,Gold Elite (GLD),3
demo-costa,2025-08-25,Platinum Elite (PLT),3
demo-centro,2025-08-26,Member (MRD),4
demo-centro,2025-08-26,Silver Elite (SLR),4
demo-centro,2025-08-26,Gold Elite (GLD),4
demo-centro,2025-08-26,Titanium Elite (TTM),2
demo-costa,2025-08-26,Member (MRD),1
demo-costa,2025-08-26,Silver Elite (SLR),1
demo-costa,2025-08-26,Platinum Elite (PLT),4
demo-costa,2025-08-26,Titanium Elite (TTM),2
demo-centro,2025-08-27,Gold Elite (GLD),3
demo-centro,2025-08-27,Titanium Elite (TTM),1
demo-costa,2025-08-27,Member (MRD),2
demo-costa,2025-08-27,Platinum Elite (PLT),4
demo-centro,2025-08-28,Silver Elite (SLR),3
demo-centro,2025-08-28,Gold Elite (GLD),2
demo-centro,2025-08-28,Titanium Elite (TTM),1
demo-costa,2025-08-28,Member (MRD),3
demo-costa,2025-08-28,Platinum Elite (PLT),1
demo-centro,2025-08-29,Member (MRD),4
demo-centro,2025-08-29,Silver Elite (SLR),3
demo-centro,2025-08-29,Gold Elite (GLD),3
demo-centro,2025-08-29,Platinum Elite (PLT),2
demo-centro,2025-08-29,Titanium Elite (TTM),2
demo-costa,2025-08-29,Member (MRD),3
demo-costa,2025-08-29,Silver Elite (SLR),2
demo-costa,2025-08-29,Gold Elite (GLD),1
demo-costa,2025-08-29,Platinum Elite (PLT),3
demo-costa,2025-08-29,Titanium Elite (TTM),4
demo-centro,2025-08-30,Member (MRD),4
demo-centro,2025-08-30,Silver Elite (SLR),3
demo-centro,2025-08-30,Gold Elite (GLD),2
demo-centro,2025-08-30,Platinum Elite (PLT),2
demo-centro,2025-08-30,Titanium Elite (TTM),4
demo-costa,2025-08-30,Member (MRD),4
demo-costa,2025-08-30,Gold Elite (GLD),1
demo-costa,2025-08-30,Platinum Elite (PLT),1
demo-costa,2025-08-30,Titanium Elite (TTM),4
demo-centro,2025-08-31,Silver Elite (SLR),2
demo-centro,2025-08-31,Gold Elite (GLD),3
demo-centro,2025-08-31,Platinum Elite (PLT),1
demo-centro,2025-08-31,Titanium Elite (TTM),4
demo-costa,2025-08-31,Gold Elite (GLD),3
demo-costa,2025-08-31,Platinum Elite (PLT),2
demo-centro,2025-09-01,Member (MRD),1
demo-centro,2025-09-01,Silver Elite (SLR),2
demo-centro,2025-09-01,Gold Elite (GLD),4
demo-centro,2025-09-01,Platinum Elite (PLT),3
demo-centro,2025-09-01,Titanium Elite (TTM),3
demo-costa,2025-09-01,Member (MRD),2
demo-costa,2025-09-01,Silver Elite (SLR),3
demo-costa,2025-09-01,Gold Elite (GLD),4
demo-costa,2025-09-01,Platinum Elite (PLT),4
demo-costa,2025-09-01,Titanium Elite (TTM),2
demo-centro,2025-09-02,Member (MRD),3
demo-centro,2025-09-02,Silver Elite (SLR),3
demo-centro,2025-09-02,Gold Elite (GLD),3
demo-centro,2025-09-02,Platinum Elite (PLT),3
demo-centro,2025-09-02,Titanium Elite (TTM),2
demo-costa,2025-09-02,Silver Elite (SLR),3
demo-costa,2025-09-02,Gold Elite (GLD),2
demo-costa,2025-09-02,Platinum Elite (PLT),3
demo-centro,2025-09-03,Silver Elite (SLR),2
demo-centro,2025-09-03,Platinum Elite (PLT),3
demo-centro,2025-09-03,Titanium Elite (TTM),2
demo-costa,2025-09-03,Member (MRD),2
demo-costa,2025-09-03,Silver Elite (SLR),2
demo-costa,2025-09-03,Gold Elite (GLD),3
demo-costa,2025-09-03,Platinum Elite (PLT),1
demo-centro,2025-09-04,Gold Elite (GLD),4
demo-centro,2025-09-04,Titanium Elite (TTM),2
demo-costa,2025-09-04,Silver Elite (SLR),3
demo-costa,2025-09-04,Titanium Elite (TTM),1
demo-centro,2025-09-05,Member (MRD),4
demo-centro,2025-09-05,Silver Elite (SLR),3
demo-centro,2025-09-05,Gold Elite (GLD),2
demo-centro,2025-09-05,Platinum Elite (PLT),1
demo-costa,2025-09-05,Silver Elite (SLR),4
demo-costa,2025-09-05,Gold Elite (GLD),2
demo-costa,2025-09-05,Titanium Elite (TTM),4
demo-centro,2025-09-06,Member (MRD),3
demo-centro,2025-09-06,Silver Elite (SLR),1
demo-centro,2025-09-06,Platinum Elite (PLT),1
demo-centro,2025-09-06,Titanium Elite (TTM),3
demo-costa,2025-09-06,Silver Elite (SLR),1
demo-costa,2025-09-06,Gold Elite (GLD),2
demo-costa,2025-09-06,Platinum Elite (PLT),2
demo-costa,2025-09-06,Titanium Elite (TTM),1
demo-centro,2025-09-07,Member (MRD),1
demo-centro,2025-09-07,Gold Elite (GLD),1
demo-centro,2025-09-07,Platinum Elite (PLT),1
demo-costa,2025-09-07,Member (MRD),2
demo-costa,2025-09-07,Silver Elite (SLR),4
demo-costa,2025-09-07,Gold Elite (GLD),3
demo-costa,2025-09-07,Titanium Elite (TTM),3
demo-centro,2025-09-08,Member (MRD),4
demo-centro,2025-09-08,Gold Elite (GLD),3
demo-centro,2025-09-08,Platinum Elite (PLT),2
demo-centro,2025-09-08,Titanium Elite (TTM),3
demo-costa,2025-09-08,Member (MRD),2
demo-costa,2025-09-08,Silver Elite (SLR),4
demo-costa,2025-09-08,Gold Elite (GLD),3
demo-costa,2025-09-08,Platinum Elite (PLT),4
demo-costa,2025-09-08,Titanium Elite (TTM),1
demo-centro,2025-09-09,Member (MRD),3
demo-centro,2025-09-09,Silver Elite (SLR),1
demo-centro,2025-09-09,Gold Elite (GLD),1
demo-centro,2025-09-09,Platinum Elite (PLT),2
demo-centro,2025-09-09,Titanium Elite (TTM),3
demo-costa,2025-09-09,Member (MRD),2
demo-costa,2025-09-09,Silver Elite (SLR),4
demo-costa,2025-09-09,Gold Elite (GLD),3
demo-costa,2025-09-09,Platinum Elite (PLT),2
demo-costa,2025-09-09,Titanium Elite (TTM),3
demo-centro,2025-09-10,Member (MRD),3
demo-centro,2025-09-10,Gold Elite (GLD),3
demo-centro,2025-09-10,Platinum Elite (PLT),4
demo-centro,2025-09-10,Titanium Elite (TTM),4
demo-costa,2025-09-10,Member (MRD),2
demo-costa,2025-09-10,Silver Elite (SLR),4
demo-costa,2025-09-10,Gold Elite (GLD),3
demo-costa,2025-09-10,Platinum Elite (PLT),1
demo-centro,2025-09-11,Member (MRD),3
demo-centro,2025-09-11,Gold Elite (GLD),4
demo-centro,2025-09-11,Platinum Elite (PLT),3
demo-centro,2025-09-11,Titanium Elite (TTM),2
demo-costa,2025-09-11,Member (MRD),3
demo-costa,2025-09-11,Silver Elite (SLR),1
demo-costa,2025-09-11,Gold Elite (GLD),2
demo-costa,2025-09-11,Platinum Elite (PLT),3
demo-centro,2025-09-12,Member (MRD),3
demo-centro,2025-09-12,Silver Elite (SLR),2
demo-centro,2025-09-12,Gold Elite (GLD),4
demo-centro,2025-09-12,Platinum Elite (PLT),3
demo-centro,2025-09-12,Titanium Elite (TTM),4
demo-costa,2025-09-12,Member (MRD),2
demo-costa,2025-09-12,Silver Elite (SLR),2
demo-costa,2025-09-12,Gold Elite (GLD),3
demo-costa,2025-09-12,Platinum Elite (PLT),2
demo-centro,2025-09-13,Member (MRD),4
demo-centro,2025-09-13,Silver Elite (SLR),1
demo-centro,2025-09-13,Gold Elite (GLD),4
demo-centro,2025-09-13,Platinum Elite (PLT),4
demo-costa,2025-09-13,Member (MRD),2
demo-costa,2025-09-13,Silver Elite (SLR),1
demo-costa,2025-09-13,Gold Elite (GLD),3
demo-costa,2025-09-13,Platinum Elite (PLT),3
demo-costa,2025-09-13,Titanium Elite (TTM),2
demo-centro,2025-09-14,Silver Elite (SLR),2
demo-centro,2025-09-14,Gold Elite (GLD),4
demo-centro,2025-09-14,Platinum Elite (PLT),2
demo-centro,2025-09-14,Titanium Elite (TTM),4
demo-costa,2025-09-14,Member (MRD),4
demo-costa,2025-09-14,Silver Elite (SLR),4
demo-costa,2025-09-14,Gold Elite (GLD),4
demo-costa,2025-09-14,Titanium Elite (TTM),4
demo-centro,2025-09-15,Member (MRD),2
demo-centro,2025-09-15,Silver Elite (SLR),2
demo-centro,2025-09-15,Gold Elite (GLD),4
demo-centro,2025-09-15,Platinum Elite (PLT),4
demo-costa,2025-09-15,Member (MRD),2
demo-costa,2025-09-15,Silver Elite (SLR),2
demo-costa,2025-09-15,Gold Elite (GLD),4
demo-costa,2025-09-15,Platinum Elite (PLT),1
demo-costa,2025-09-15,Titanium Elite (TTM),4
demo-centro,2025-09-16,Member (MRD),2
demo-centro,2025-09-16,Silver Elite (SLR),2
demo-centro,2025-09-16,Gold Elite (GLD),4
demo-centro,2025-09-16,Platinum Elite (PLT),1
demo-centro,2025-09-16,Titanium Elite (TTM),1
demo-costa,2025-09-16,Member (MRD),1
demo-costa,2025-09-16,Silver Elite (SLR),1
demo-costa,2025-09-16,Platinum Elite (PLT),4
demo-costa,2025-09-16,Titanium Elite (TTM),4
demo-centro,2025-09-17,Member (MRD),3
demo-centro,2025-09-17,Gold Elite (GLD),4
demo-centro,2025-09-17,Platinum Elite (PLT),1
demo-centro,2025-09-17,Titanium Elite (TTM),2
demo-costa,2025-09-17,Member (MRD),2
demo-costa,2025-09-17,Silver Elite (SLR),3
demo-costa,2025-09-17,Gold Elite (GLD),1
demo-costa,2025-09-17,Platinum Elite (PLT),4
demo-costa,2025-09-17,Titanium Elite (TTM),1
demo-centro,2025-09-18,Member (MRD),3
demo-centro,2025-09-18,Silver Elite (SLR),4
demo-centro,2025-09-18,Gold Elite (GLD),1
demo-centro,2025-09-18,Platinum Elite (PLT),3
demo-centro,2025-09-18,Titanium Elite (TTM),3
demo-costa,2025-09-18,Gold Elite (GLD),2
demo-costa,2025-09-18,Platinum Elite (PLT),2
demo-costa,2025-09-18,Titanium Elite (TTM),2
demo-centro,2025-09-19,Member (MRD),2
demo-centro,2025-09-19,Silver Elite (SLR),3
demo-centro,2025-09-19,Gold Elite (GLD),1
demo-centro,2025-09-19,Platinum Elite (PLT),1
demo-costa,2025-09-19,Member (MRD),4
demo-costa,2025-09-19,Silver Elite (SLR),2
demo-costa,2025-09-19,Gold Elite (GLD),1
demo-costa,2025-09-19,Titanium Elite (TTM),1
demo-centro,2025-09-20,Member (MRD),1
demo-centro,2025-09-20,Silver Elite (SLR),4
demo-centro,2025-09-20,Gold Elite (GLD),3
demo-centro,2025-09-20,Platinum Elite (PLT),3
demo-costa,2025-09-20,Member (MRD),2
demo-costa,2025-09-20,Gold Elite (GLD),4
demo-costa,2025-09-20,Titanium Elite (TTM),2
demo-centro,2025-09-21,Silver Elite (SLR),1
demo-centro,2025-09-21,Gold Elite (GLD),2
demo-centro,2025-09-21,Platinum Elite (PLT),1
demo-centro,2025-09-21,Titanium Elite (TTM),1
demo-costa,2025-09-21,Silver Elite (SLR),1
demo-costa,2025-09-21,Gold Elite (GLD),4
demo-costa,2025-09-21,Platinum Elite (PLT),3
demo-costa,2025-09-21,Titanium Elite (TTM),3
demo-centro,2025-09-22,Member (MRD),2
demo-centro,2025-09-22,Gold Elite (GLD),1
demo-centro,2025-09-22,Platinum Elite (PLT),3
demo-centro,2025-09-22,Titanium Elite (TTM),1
demo-costa,2025-09-22,Silver Elite (SLR),4
demo-costa,2025-09-22,Gold Elite (GLD),4
demo-costa,2025-09-22,Platinum Elite (PLT),4
demo-centro,2025-09-23,Member (MRD),2
demo-centro,2025-09-23,Silver Elite (SLR),3
demo-centro,2025-09-23,Gold Elite (GLD),1
demo-centro,2025-09-23,Platinum Elite (PLT),3
demo-centro,2025-09-23,Titanium Elite (TTM),4
demo-costa,2025-09-23,Member (MRD),4
demo-costa,2025-09-23,Silver Elite (SLR),3
demo-costa,2025-09-23,Gold Elite (GLD),2
demo-costa,2025-09-23,Platinum Elite (PLT),3
demo-costa,2025-09-23,Titanium Elite (TTM),1
demo-centro,2025-09-24,Member (MRD),3
demo-centro,2025-09-24,Silver Elite (SLR),4
demo-centro,2025-09-24,Platinum Elite (PLT),2
demo-centro,2025-09-24,Titanium Elite (TTM),4
demo-costa,2025-09-24,Member (MRD),3
demo-costa,2025-09-24,Silver Elite (SLR),3
demo-costa,2025-09-24,Gold Elite (GLD),1
demo-costa,2025-09-24,Platinum Elite (PLT),4
demo-costa,2025-09-24,Titanium Elite (TTM),3
demo-centro,2025-09-25,Gold Elite (GLD),4
demo-centro,2025-09-25,Platinum Elite (PLT),4
demo-centro,2025-09-25,Titanium Elite (TTM),4
demo-costa,2025-09-25,Member (MRD),1
demo-costa,2025-09-25,Silver Elite (SLR),4
demo-costa,2025-09-25,Gold Elite (GLD),3
demo-costa,2025-09-25,Titanium Elite (TTM),3
demo-centro,2025-09-26,Member (MRD),3
demo-centro,2025-09-26,Silver Elite (SLR),4
demo-centro,2025-09-26,Gold Elite (GLD),4
demo-centro,2025-09-26,Platinum Elite (PLT),3
demo-centro,2025-09-26,Titanium Elite (TTM),1
demo-costa,2025-09-26,Member (MRD),1
demo-costa,2025-09-26,Silver Elite (SLR),4
demo-costa,2025-09-26,Gold Elite (GLD),2
demo-costa,2025-09-26,Platinum Elite (PLT),1
demo-costa,2025-09-26,Titanium Elite (TTM),2
demo-centro,2025-09-27,Member (MRD),1
demo-centro,2025-09-27,Silver Elite (SLR),1
demo-centro,2025-09-27,Gold Elite (GLD),4
demo-centro,2025-09-27,Platinum Elite (PLT),3
demo-centro,2025-09-27,Titanium Elite (TTM),4
demo-costa,2025-09-27,Member (MRD),2
demo-costa,2025-09-27,Silver Elite (SLR),4
demo-costa,2025-09-27,Gold Elite (GLD),2
demo-costa,2025-09-27,Platinum Elite (PLT),3
demo-costa,2025-09-27,Titanium Elite (TTM),4
demo-centro,2025-09-28,Member (MRD),2
demo-centro,2025-09-28,Silver Elite (SLR),3
demo-centro,2025-09-28,Gold Elite (GLD),2
demo-centro,2025-09-28,Platinum Elite (PLT),3
demo-centro,2025-09-28,Titanium Elite (TTM),2
demo-costa,2025-09-28,Silver Elite (SLR),2
demo-costa,2025-09-28,Titanium Elite (TTM),4
demo-centro,2025-09-29,Member (MRD),2
demo-centro,2025-09-29,Silver Elite (SLR),2
demo-centro,2025-09-29,Gold Elite (GLD),4
demo-centro,2025-09-29,Titanium Elite (TTM),1
demo-costa,2025-09-29,Member (MRD),3
demo-costa,2025-09-29,Titanium Elite (TTM),4
demo-centro,2025-09-30,Member (MRD),4
demo-centro,2025-09-30,Gold Elite (GLD),2
demo-centro,2025-09-30,Platinum Elite (PLT),1
demo-centro,2025-09-30,Titanium Elite (TTM),4
demo-costa,2025-09-30,Member (MRD),4
demo-costa,2025-09-30,Silver Elite (SLR),2
demo-costa,2025-09-30,Gold Elite (GLD),3
demo-costa,2025-09-30,Platinum Elite (PLT),2
demo-costa,2025-09-30,Titanium Elite (TTM),3
demo-centro,2025-10-01,Silver Elite (SLR),4
